"Supplier ID","Contract","Supplier ID","Spend ","Supplier Name","Country","Region","Category","Sub-Category","Commodity Code","Risk Category","Risk Impact Category","Risk Probability Category","Risk Zone","Risk Impact Score","Risk Probability Score","Risk Score","Payment term","Contract Value ","Contract Type","Contract Terms","Contract currency ","Start Date","Expiry Date ","Duriation in Years","Status"
"205403","Contract_A1000","205403","  1,222.90 ","MOULIN SOUFFLET (MOULIN SOUFFLET ( 205403 ))","France","Western Europe","BUSINESS SERVICES","BUSINESS SERVICES","R&D Trial Ingrednts (IBSRD5001)","HighLow","High","Low","Medium","4.94","1.92","9.4848","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","20-Nov-2014","20-Nov-2024","11","Executed Agreement"
"192819","Contract_A1001","192819","  988.23 ","PATISFRANCE PURATOS (PATISFRANCE PURATOS ( 192819 ))","France","Western Europe","BUSINESS SERVICES","BUSINESS SERVICES","R&D Trial Ingrednts (IBSRD5001)","LowHigh","Low","High","Medium","2.17","4.87","10.5679","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2010","31-Mar-2011","2","Closed"
"154316","Contract_A1002","154316","  438.81 ","RS COMPONENTS GMBH (RS COMPONENTS GMBH ( 154316 ))","Switzerland","Central Europe","BUSINESS SERVICES","Information Systems","PC Hardware & Bundle (IBSIS5004)","LowHigh","Low","High","Medium","1.04","4.47","4.6488","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","10-Aug-2007","31-Dec-2011","5","Closed"
"503534","Contract_A1003","503534","  910.54 ","sdsd","China","Southern East Asia","BUSINESS SERVICES","Information Systems","Office Printers (IBSIS5003)","LowLow","Low","Low","Low","1.27","1.91","2.4257","90","  10,000.00 ","Standard Master Agreement for Direct","","USD","01-Jan-2007","08-May-2013","7","Executed Agreement"
"2025646","Contract_A1004","2025646","  192.42 ","CENETEL CENTRO ESPEC TELECOM LTDA (CENETEL CENTRO ESPEC TELECOM LTDA ( 2025646 ))","Brazil","North America","BUSINESS SERVICES","Information Systems","Tradit Phone Spend (IBSIS7004)","LowHigh","Low","High","Medium","1.44","4.7","6.768","30","  10,000.00 ","Standard Master Agreement for Indirect","","USD","07-Jan-2008","31-Dec-2019","12","Executed Agreement"
"294761","Contract_A1005","294761","  155.24 ","RS COMPONENTS GMBH (RS COMPONENTS GMBH ( 294761 ))","Switzerland","Central Europe","BUSINESS SERVICES","Information Systems","PC Hardware & Bundle (IBSIS5004)","LowHigh","Low","High","Medium","2.92","4.46","13.0232","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","02-Feb-2015","01-Jan-2019","4","On Hold"
"273446","Contract_A1006","273446","  31,018.22 ","WITHHOLDING TAX BT (WITHHOLDING TAX BT ( 273446 ))","Hungary","Central Europe","BUSINESS SERVICES","BUSINESS SERVICES","Mgmt Advise Consult (IBSCC1009)","LowHigh","Low","High","Medium","2.06","3.62","7.4572","60","  50,000.00 ","Standard Master Agreement for Indirect","","USD","15-Apr-2013","10-Jul-2013","1","Closed"
"531059","Contract_A1007","531059","  162,228.50 ","FGI LIFE INSURANCE COMPANY LIMITED (FGI LIFE INSURANCE COMPANY LIMITED ( 531059 ))","India","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","Real Estate Insuranc (IBSFS3001)","LowHigh","Low","High","Medium","2.34","3.37","7.8858","90","  500,000.00 ","Standard Master Agreement for Indirect","","USD","13-Jan-2017","31-Dec-2019","3","Executed Agreement"
"534668","Contract_A1008","534668","  360,733.71 ","R. N. SERVICES (R. N. SERVICES ( 534668 ))","India","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","InterimSeasonalLabor (IBSCC3001)","LowLow","Low","Low","Low","2.9","2.84","8.236","90","  500,000.00 ","Standard Master Agreement for Direct","","USD","30-Aug-2008","31-Dec-2010","3","Executed Agreement"
"2033486","Contract_A1009","2033486","  63,065.44 ","LOGISTICS ASSISTANCE GROUP S DE RL DE CV (LOGISTICS ASSISTANCE GROUP S DE RL DE CV ( 2033486 ))","Mexico","North America","BUSINESS SERVICES","BUSINESS SERVICES","Prof Non-consult Svc (IBSCC2006)","LowLow","Low","Low","Low","1.97","2.86","5.6342","75","  100,000.00 ","Standard Master Agreement for Indirect","","USD","21-Mar-2010","11-Jun-2014","5","Terminated"
"548559","Contract_A1010","548559","  155,965.36 ","BRIJESH ASSOCIATES (BRIJESH ASSOCIATES ( 548559 ))","India","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","InterimSeasonalLabor (IBSCC3001)","LowLow","Low","Low","Low","2.71","1.54","4.1734","45","  500,000.00 ","Standard Master Agreement for Direct","","USD","01-Jul-2009","30-Jun-2010","1","Closed"
"548562","Contract_A1011","548562","  7,540.60 ","SBL ENGINEERING (SBL ENGINEERING ( 548562 ))","India","Southern East Asia","BUSINESS SERVICES","Information Systems","Tradit Phone Spend (IBSIS7004)","LowLow","Low","Low","Low","1.92","2.83","5.4336","60","  100,000.00 ","Standard Master Agreement for Indirect","","USD","07-Feb-2012","28-Feb-2015","4","Closed-Archived"
"532160","Contract_A1012","532160","  25.37 ","ANBEE DIAGNOSTIC (ANBEE DIAGNOSTIC ( 532160 ))","India","Southern East Asia","BUSINESS SERVICES","Information Systems","Audio-Conference Srv (IBSIS7005)","LowLow","Low","Low","Low","1","2.11","2.11","12","  10,000.00 ","Standard Master Agreement for Indirect","","USD","17-Apr-2014","31-Dec-2019","6","Terminated"
"544515","Contract_A1013","544515","  11,022.90 ","ã‚ªãƒ•ã‚£ã‚¹ãƒ©ã‚¤ãƒ•ãƒ—ãƒ©ã‚¹ ä¸‰å®…ã€€ä» (ã‚ªãƒ•ã‚£ã‚¹ãƒ©ã‚¤ãƒ•ãƒ—ãƒ©ã‚¹ ä¸‰å®…ã€€ä» ( 544515 ))","Japan","ANZ/Japan","BUSINESS SERVICES","BUSINESS SERVICES","Prof Non-consult Svc (IBSCC2006)","HighLow","High","Low","Medium","3.9","1.95","7.605","60","  150,000.00 ","Standard Master Agreement for Indirect","","USD","28-Feb-2014","31-Dec-2014","1","Closed"
